"REGIME","SITUPRE","DIPDER","NIVEAU","SECTDIS","DISCIPLI","NBACH","CURSUS_LMD","RES","SEXE","AGE"
11,"U","R",2,34,6,0,"M","Admis","F",37
20,"U","N",1,34,6,0,"M","Non_Admis","F",34
22,"U","N",1,39,2,0,"M","Admis","M",34
20,"H","Q",2,36,1,0,"M","Admis","F",36
11,"E","Q",2,34,6,0,"M","Non_Admis","M",51
11,"H","Q",2,36,1,0,"M","Non_Admis","M",35
11,"U","Q",2,34,6,0,"M","Admis","F",33
20,"U","Q",2,39,2,0,"M","Admis","M",37
11,"H","U",1,36,1,0,"M","Non_Admis","F",33
11,"U","N",1,36,1,0,"M","Admis","F",31
11,"H","Z",2,33,6,0,"M","Non_Admis","F",33
11,"H","Q",2,34,6,0,"M","Admis","M",30
20,"U","Z",2,10,10,0,"L","Admis","M",33
11,"E","N",2,34,6,0,"M","Admis","F",31
11,"H","Q",2,34,6,0,"M","Admis","M",31
20,"U","L",1,39,2,0,"L","Admis","F",31
11,"H","N",1,34,6,0,"M","Admis","M",33
11,"H","I",3,36,1,0,"L","Non_Admis","F",31
11,"U","U",2,34,6,0,"M","Admis","F",35
11,"U","B",3,14,15,0,"L","Admis","M",30
11,"U","I",3,1,15,0,"L","Non_Admis","M",36
11,"U","N",1,39,2,0,"M","Non_Admis","M",40
20,"H","N",1,40,3,0,"M","Admis","F",30
10,"U","Q",2,34,6,0,"M","Admis","F",28
10,"U","Q",2,36,1,0,"M","Admis","F",28
11,"U","Q",2,39,2,0,"M","Admis","F",28
10,"H","I",1,14,15,0,"M","Admis","F",29
11,"H","Q",2,33,6,0,"M","Non_Admis","F",41
11,"U","Q",2,16,15,0,"M","Non_Admis","M",27
11,"U","N",1,34,6,0,"M","Admis","M",28
20,"U","B",1,14,15,0,"L","Admis","M",26
10,"H","Q",2,27,6,0,"M","Admis","M",29
10,"H","I",1,34,6,0,"M","Admis","M",27
11,"U","Q",1,34,6,0,"M","Non_Admis","M",27
22,"B","B",3,62,2,0,"L","Admis","F",29
10,"H","Q",1,36,1,0,"M","Non_Admis","F",28
10,"H","Q",2,34,6,0,"M","Admis","F",29
10,"H","U",2,21,4,0,"M","Non_Admis","F",27
10,"H","Q",1,36,1,0,"M","Non_Admis","F",31
10,"U","U",1,36,1,0,"M","Non_Admis","F",26
10,"H","U",2,40,3,0,"M","Admis","F",26
10,"H","N",2,36,1,0,"M","Admis","F",26
10,"H","U",2,36,1,0,"M","Admis","F",26
10,"H","Q",2,34,6,0,"M","Admis","M",26
10,"H","Q",1,21,4,0,"L","Non_Admis","F",26
12,"H","Q",2,39,2,0,"M","Admis","M",25
10,"H","N",1,14,15,0,"M","Non_Admis","M",26
10,"H","U",1,36,1,0,"M","Non_Admis","F",28
10,"H","I",1,40,3,0,"M","Admis","F",26
10,"H","Q",2,34,6,0,"M","Admis","F",25
11,"E","Q",2,34,6,0,"M","Admis","M",27
10,"H","N",1,34,6,0,"M","Non_Admis","M",25
10,"H","N",1,36,1,0,"M","Non_Admis","M",27
10,"H","U",1,36,1,0,"M","Non_Admis","M",26
10,"H","Q",2,16,15,0,"M","Admis","M",31
10,"H","A",2,21,4,0,"L","Non_Admis","M",27
10,"E","Q",2,34,6,0,"M","Non_Admis","M",25
11,"U","Q",2,34,6,0,"M","Admis","F",24
12,"H","Q",2,40,3,0,"M","Admis","F",26
10,"U","U",1,36,1,0,"M","Non_Admis","F",25
11,"E","Q",2,34,6,0,"M","Non_Admis","F",24
10,"H","N",2,10,10,0,"M","Admis","M",28
12,"H","Q",2,40,3,0,"M","Admis","F",26
10,"H","U",1,36,1,0,"M","Non_Admis","F",25
10,"H","U",2,36,1,0,"M","Admis","F",25
10,"U","N",2,21,4,0,"M","Non_Admis","M",24
10,"H","Q",1,34,6,0,"M","Admis","M",25
10,"H","U",1,36,1,0,"M","Non_Admis","F",24
10,"U","Q",1,36,1,0,"M","Non_Admis","M",25
10,"H","Q",1,36,1,0,"M","Non_Admis","F",26
10,"H","Q",2,40,3,0,"M","Admis","F",25
12,"U","Q",2,39,2,0,"M","Non_Admis","M",24
10,"H","N",1,36,1,0,"M","Non_Admis","M",26
10,"U","Q",2,36,1,0,"M","Admis","F",24
